"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1987","1987","USD","US Dollar","0","Units",,,1939.194,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1988","1988","USD","US Dollar","0","Units",,,1941.543,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1989","1989","USD","US Dollar","0","Units",,,2051.093,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1990","1990","USD","US Dollar","0","Units",,,2308.461,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1991","1991","USD","US Dollar","0","Units",,,2564.655,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1992","1992","USD","US Dollar","0","Units",,,2894.912,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1993","1993","USD","US Dollar","0","Units",,,3098.392,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1994","1994","USD","US Dollar","0","Units",,,3227.603,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1995","1995","USD","US Dollar","0","Units",,,3737.876,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1996","1996","USD","US Dollar","0","Units",,,3912.38,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1997","1997","USD","US Dollar","0","Units",,,4055.908,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1998","1998","USD","US Dollar","0","Units",,,4465.54,,
