COUNTRY,COUNTRY ABBREV,CCODE,YEAR,ISOCODE,TOTGEN,UEGEN,SKGEN,PGEN,APWWage,US100,UC1000,SS100,SC1000,MPS100,MPC1000,SPS100,SPC1000,UEQUAL,UEDUR,UEWAIT,UECOV,SICKQUAL,SICKDUR,SICKWAIT,SICKCOV,PQUAL,PFUND,AVGPER,PENCOV,MRET,FRET,LEXP65
"Australia",AUS,1,1970,36,,,,,4244,,,,,,,,,,,,,,,,,,,,,,,13.75
"Australia",AUS,1,1971,36,18.4,6.3,5.7,6.4,4632,0.149,0.255,0.149,0.255,0.239,0.392,0.239,0.392,0,999,7,1,0,999,7,1,0,0,0,0.624,65,60,14.3
"Australia",AUS,1,1972,36,19.1,6.7,6,6.4,5257,0.233,0.336,0.233,0.336,0.237,0.387,0.237,0.387,0,999,7,1,0,999,7,1,0,0,0,0.627,65,60,14.5
"Australia",AUS,1,1973,36,20.5,7.4,6.5,6.7,6550,0.268,0.575,0.268,0.575,0.268,0.434,0.268,0.434,0,999,7,1,0,999,7,1,0,0,0,0.685,65,60,14.6
"Australia",AUS,1,1974,36,20.2,7.2,6.4,6.6,7907,0.266,0.518,0.266,0.518,0.266,0.405,0.266,0.405,0,999,7,1,0,999,7,1,0,0,0,0.735,65,60,14.55
"Australia",AUS,1,1975,36,20.2,7.2,6.3,6.7,9071,0.261,0.505,0.261,0.505,,,0.261,0.381,0,999,7,1,0,999,7,1,0,0,0,0.767,65,60,15.05
"Australia",AUS,1,1976,36,21,7.5,6.6,6.8,10062,0.289,0.627,0.289,0.627,0.289,0.428,0.289,0.428,0,999,7,1,0,999,7,1,0,0,0,0.79,65,60,14.95
"Australia",AUS,1,1977,36,21.2,7.6,6.7,6.9,10773,0.309,0.642,0.309,0.642,0.285,0.423,0.285,0.423,0,999,7,1,0,999,7,1,0,0,0,0.808,65,60,15.4
"Australia",AUS,1,1978,36,21.2,7.6,6.6,7.1,11570,0.305,0.625,0.305,0.625,0.305,0.451,0.305,0.451,0,999,7,1,0,999,7,1,0,0,0,0.833,65,60,15.45
"Australia",AUS,1,1979,36,21.2,7.5,6.6,7.1,13905,0.296,0.616,0.296,0.616,0.306,0.458,0.306,0.458,0,999,7,1,0,999,7,1,0,0,0,0.835,65,60,15.75
"Australia",AUS,1,1980,36,20.5,7.2,6.4,6.9,15465,0.25,0.536,0.25,0.536,0.281,0.42,0.281,0.42,0,999,7,1,0,999,7,1,0,0,0,0.836,65,60,15.8
"Australia",AUS,1,1981,36,20.5,7.2,6.3,7,17462,0.234,0.536,0.234,0.536,0.281,0.423,0.281,0.423,0,999,7,1,0,999,7,1,0,0,0,0.833,65,60,16
"Australia",AUS,1,1982,36,20.4,7.1,6.3,7,17560,0.224,0.506,0.224,0.506,0.286,0.432,0.286,0.432,0,999,7,1,0,999,7,1,0,0,0,0.826,65,60,15.9
"Australia",AUS,1,1983,36,20.7,7.2,6.4,7.1,18829,0.246,0.535,0.246,0.535,0.295,0.438,0.295,0.438,0,999,7,1,0,999,7,1,0,0,0,0.827,65,60,16.25
"Australia",AUS,1,1984,36,21.1,7.4,6.5,7.2,20275,0.262,0.58,0.262,0.58,0.305,0.456,0.305,0.456,0,999,7,1,0,999,7,1,0,0,0,0.797,65,60,16.4
"Australia",AUS,1,1985,36,21.1,7.4,6.5,7.2,21414,0.261,0.588,0.261,0.588,0.306,0.46,0.306,0.46,0,999,7,1,0,999,7,1,0,0,0,0.766,65,60,16.25
"Australia",AUS,1,1986,36,21.5,7.5,6.6,7.3,22698,0.29,0.626,0.29,0.626,0.31,0.469,0.31,0.469,0,999,7,1,0,999,7,1,0,0,0,0.741,65,60,16.55
"Australia",AUS,1,1987,36,21.7,7.6,6.6,7.4,24913,0.298,0.641,0.298,0.641,0.319,0.484,0.319,0.484,0,999,7,1,0,999,7,1,0,0,0,0.729,65,60,16.65
"Australia",AUS,1,1988,36,21.9,7.7,6.7,7.5,27195,0.302,0.67,0.302,0.67,0.324,0.495,0.324,0.495,0,999,7,1,0,999,7,1,0,0,0,0.715,65,60,16.75
"Australia",AUS,1,1989,36,21.7,7.6,6.6,7.5,28030,0.29,0.641,0.29,0.641,,,0.311,0.475,0,999,7,1,0,999,7,1,0,0,0,0.7,65,60,16.7
"Australia",AUS,1,1990,36,21.8,7.6,6.7,7.5,29140,0.301,0.661,0.301,0.661,0.322,0.486,0.322,0.486,0,999,7,1,0,999,7,1,0,0,0,0.687,65,60,17.1
"Australia",AUS,1,1991,36,22.3,7.7,6.8,7.8,29536,0.31,0.695,0.31,0.695,0.348,0.525,0.348,0.525,0,999,7,1,0,999,7,1,0,0,0,0.685,65,60,17.25
