"iso3c","year","gini_disp","gini_mkt","gini_disp_se","gini_mkt_se"
"AFG",2007,31.6,33.5,2.6,2.6
"AFG",2008,31.6,33.5,2.4,2.6
"AFG",2009,31.7,33.6,2.5,2.6
"AFG",2010,31.7,33.7,2.5,2.6
"AFG",2011,31.8,33.8,2.6,2.6
"AFG",2012,31.9,33.9,2.6,2.5
"AFG",2013,31.9,33.9,2.7,2.7
"AFG",2014,31.9,33.9,2.8,2.7
"AFG",2015,31.9,34,2.9,2.8
"AFG",2016,31.9,33.9,3,2.9
"AFG",2017,31.9,33.9,3,3
"AGO",2000,50.5,53.6,2.8,3
"AGO",2001,50.5,53.6,2.8,2.9
"AGO",2002,50.4,53.6,2.7,3
"AGO",2003,50.3,53.5,2.7,2.9
"AGO",2004,50.3,53.5,2.8,2.8
"AGO",2005,50.2,53.5,2.7,2.7
"AGO",2006,50,53.2,2.6,2.7
"AGO",2007,49.9,53,2.6,2.7
"AGO",2008,49.7,52.8,2.5,2.7
"AGO",2009,49.6,52.7,2.5,2.6
"AGO",2010,49.7,52.8,2.6,2.8
"AGO",2011,49.8,52.9,2.8,2.9
"AGO",2012,49.8,52.9,2.8,3
"AGO",2013,49.8,53,2.9,3.1
"AGO",2014,49.8,53.1,3,3.2
"AGO",2015,49.9,53.1,3,3.2
"AGO",2016,49.9,53.2,3,3.3
"AGO",2017,50,53.2,3.2,3.4
"AGO",2018,50,53.3,3.2,3.6
"AIA",2002,35.9,37.2,3.2,4.1
"AIA",2003,36,37.3,3.3,4.2
"AIA",2004,36.1,37.4,3.4,4.3
"AIA",2005,36.1,37.4,3.4,4.3
"AIA",2006,36.2,37.5,3.5,4.3
"AIA",2007,36.3,37.6,3.5,4.4
"AIA",2008,36.4,37.7,3.5,4.5
"AIA",2009,36.5,37.7,3.7,4.5
"ALB",1996,37.8,46,2.5,4.5
"ALB",1997,37.9,46,2.5,4.5
"ALB",1998,38.1,46.1,2.5,4.4
"ALB",1999,38.2,46.2,2.5,4.4
"ALB",2000,38.3,46.3,2.4,4.4
"ALB",2001,38.5,46.4,2.3,4.3
"ALB",2002,38.6,46.5,2.2,4.2
"ALB",2003,38.7,46.6,2.3,4.3
"ALB",2004,38.8,46.7,2.2,4.3
"ALB",2005,38.9,46.8,2.2,4.2
"ALB",2006,38.9,46.9,2.3,4.3
"ALB",2007,39,47,2.3,4.3
"ALB",2008,39.1,47.1,2.3,4.3
"ALB",2009,39.3,47.1,2.4,4.3
"ALB",2010,39.4,47.1,2.4,4.3
"ALB",2011,39.6,47.2,2.5,4.4
"ALB",2012,39.7,47.2,2.4,4.4
"ALB",2013,39.9,47.2,2.5,4.5
"ALB",2014,40,47.3,2.4,4.5
"ALB",2015,40.2,47.3,2.6,4.6
"ALB",2016,40.3,47.3,2.6,4.7
"ALB",2017,40.3,47.3,2.7,4.8
"AND",2001,30.7,40.2,3.7,7.1
"AND",2002,30.7,40.2,3.8,7.2
"AND",2003,30.7,40.2,3.7,7.3
"AND",2004,30.7,40.2,3.8,7.2
"AND",2005,30.7,40.2,3.8,7.3
"AND",2006,30.7,40.3,3.9,7.4
"AND",2007,30.7,40.3,3.9,7.5
"AND",2008,30.7,40.3,3.9,7.5
"AND",2009,30.7,40.3,4,7.5
"AND",2010,30.7,40.3,4.1,7.5
"AND",2011,30.6,40.3,4.2,7.6
"AND",2012,30.7,40.3,4.2,7.6
"AND",2013,30.6,40.3,4.3,7.7
"AND",2014,30.7,40.3,4.3,7.6
"AND",2015,30.7,40.3,4.4,7.7
"AND",2016,30.7,40.4,4.5,7.8
"ARE",2008,39,41.3,5.4,5.5
"ARG",1986,40.5,41.2,1.2,3.4
"ARG",1987,41,41.5,1.2,3.4
"ARG",1988,41.4,41.9,1.2,3.4
"ARG",1989,41.8,42.3,1.2,3.4
"ARG",1990,42.1,42.6,1.2,3.3
"ARG",1991,42.3,42.8,1.1,3.3
"ARG",1992,42.4,43.1,1,3.4
"ARG",1993,42.7,43.3,1.1,3.4
"ARG",1994,43.2,43.7,1.1,3.4
"ARG",1995,43.7,44.1,1.1,3.4
"ARG",1996,44.2,44.4,1.1,3.3
"ARG",1997,44.7,44.8,1.1,3.4
"ARG",1998,45.1,45.1,1.1,3.4
"ARG",1999,45.4,45.3,1.1,3.4
"ARG",2000,45.7,45.4,1.1,3.3
"ARG",2001,45.9,45.5,1.1,3.4
"ARG",2002,45.8,45.5,1.1,3.5
"ARG",2003,45.4,45.1,1.1,3.4
"ARG",2004,44.7,44.7,1.1,3.4
"ARG",2005,43.9,44.1,1,3.4
"ARG",2006,43.1,43.5,1,3.3
"ARG",2007,42.1,42.9,1.1,3.3
"ARG",2008,41.4,42.3,1.1,3.3
"ARG",2009,40.7,41.8,1.1,3.2
"ARG",2010,40,41.3,1.1,3.1
"ARG",2011,39.3,40.8,1.1,3.1
"ARG",2012,38.8,40.4,1,3.2
"ARG",2013,38.3,40,1.1,3.2
"ARG",2014,37.9,39.7,1.2,3.3
"ARG",2015,37.7,39.5,1.3,3.3
"ARG",2016,37.6,39.4,1.4,3.4
"ARG",2017,37.5,39.3,1.5,3.5
"ARM",1988,35,46.8,2.2,3.2
"ARM",1989,35.1,46.9,2.2,3.1
"ARM",1990,35.5,47.3,2.1,3
"ARM",1991,36.1,47.8,2,3
"ARM",1992,36.6,48.3,2,3.1
"ARM",1993,37.2,48.9,2,2.9
"ARM",1994,37.7,49.3,1.9,2.8
"ARM",1995,38.3,49.8,1.9,2.8
"ARM",1996,38.9,50.3,1.7,2.7
"ARM",1997,39.1,50.5,1.7,2.6
"ARM",1998,39.4,50.7,1.7,2.6
"ARM",1999,39.5,50.8,1.5,2.5
"ARM",2000,39.2,50.6,1.5,2.4
"ARM",2001,39,50.4,1.4,2.4
"ARM",2002,38.6,50.2,1.4,2.4
"ARM",2003,38.5,50,1.4,2.4
"ARM",2004,38.2,49.7,1.3,2.3
"ARM",2005,37.7,49.3,1.3,2.2
"ARM",2006,37.3,48.9,1.3,2.2
"ARM",2007,36.9,48.6,1.3,2.1
"ARM",2008,36.5,48.2,1.2,2.1
"ARM",2009,36.3,48,1.2,2.1
"ARM",2010,36.1,47.9,1.3,2.2
"ARM",2011,36,47.8,1.3,2.1
"ARM",2012,36.2,48,1.3,2.2
"ARM",2013,36.5,48.1,1.3,2.2
"ARM",2014,36.7,48.3,1.4,2.3
"ARM",2015,37,48.5,1.4,2.3
"ARM",2016,37.2,48.7,1.5,2.4
"ARM",2017,37.3,48.8,1.5,2.5
"ARM",2018,37.3,48.8,1.6,2.6
"ATG",2007,47.1,46.8,6,7
"AUS",1986,28.8,42.3,0.9,1.1
"AUS",1987,29.1,42.7,1,1.1
"AUS",1988,29.5,43,0.8,1.1
"AUS",1989,29.9,43.4,0.6,0.8
"AUS",1990,29.5,43.6,0.8,1.1
"AUS",1991,29.6,43.9,1,1.3
"AUS",1992,29.6,44.3,1,1.2
"AUS",1993,29.6,44.6,1,1.2
"AUS",1994,29.6,45,0.7,1
"AUS",1995,30.3,45.8,0.7,0.9
"AUS",1996,30.6,46,0.6,0.8
"AUS",1997,30.7,46.2,0.7,0.8
"AUS",1998,31.1,46.7,0.6,0.9
"AUS",1999,31.4,47.1,0.7,1
"AUS",2000,31.7,47.5,0.6,0.8
"AUS",2001,31.7,47.8,0.7,0.9
"AUS",2002,31.6,47.8,0.8,1
"AUS",2003,31.6,47.7,0.6,0.8
"AUS",2004,31.6,47.7,0.6,0.8
"AUS",2005,31.8,47.7,0.8,0.9
"AUS",2006,32,47.7,0.6,0.9
"AUS",2007,32.3,47.7,0.8,1
"AUS",2008,32.6,47.6,0.7,0.9
"AUS",2009,32.7,47.7,0.9,0.9
"AUS",2010,32.7,47.7,0.7,0.8
"AUS",2011,32.5,47.8,0.8,1
"AUS",2012,32.3,47.9,0.6,0.8
"AUS",2013,32.3,47.9,0.8,1
"AUS",2014,32.4,47.9,0.8,1
"AUS",2015,32.4,48,1,1.3
"AUS",2016,32.5,48,1.1,1.5
"AUS",2017,32.4,48,1.2,1.7
"AUS",2018,32.4,47.9,1.3,1.9
"AUT",1986,23.5,38,1,1.1
"AUT",1987,23.3,38,0.7,0.7
"AUT",1988,23.8,38.6,1,1.1
"AUT",1989,24.4,39.1,1.1,1.3
"AUT",1990,24.9,39.6,1.2,1.4
"AUT",1991,25.5,40.2,1.2,1.5
"AUT",1992,26,40.8,1.1,1.4
"AUT",1993,26.6,41.3,1,1.3
"AUT",1994,27.3,41.9,0.8,1
"AUT",1995,27.9,42.1,0.5,0.7
"AUT",1996,27.5,42.5,0.7,1
"AUT",1997,27.2,42.8,0.8,1.1
"AUT",1998,27,43.1,0.9,1.2
"AUT",1999,26.6,43.2,0.9,1.2
"AUT",2000,26.6,43.7,0.9,1.3
"AUT",2001,26.7,44.3,1,1.4
"AUT",2002,26.8,44.8,1,1.3
"AUT",2003,26.9,45.3,0.9,1.2
"AUT",2004,26.9,45.7,0.7,1
"AUT",2005,27,46.2,0.7,1.1
"AUT",2006,27.4,46.8,0.7,1
"AUT",2007,27.8,47.6,0.7,1
"AUT",2008,27.9,48,0.7,1
