Country,Program Type,Contribution_Worker,Contribution_Employer,Contribution_SelfEmp,Contribution_Gov,Coverage_pct_LF,,
Algeria ,Social insurance ,No contribution ,1.25% of gross payroll ,Not covered ,No contribution ,53.8,,
Angola ,Employer liability ,No contribution ,Whole cost (pays insurance premiums) ,Voluntary basis ,No contribution ,… ,,
Benin ,Social insurance; employer liability ,No contribution ,1% to 4% of gross payroll according to assessed risk ,Not covered ,No contribution ,5.2,,
Botswana ,Employer liability (normally involving insurance with a private carrier) ,No contribution ,Whole cost (pays insurance premiums or provides benefits directly) ,Not covered ,No contribution ,43.1,,
Burkina Faso ,Social insurance (cash and medical benefits); employer liability (temporary cash benefits only) ,No contribution ,3.5% of covered payroll; whole cost for employer liability ,Not covered ,No contribution ,5.5,,
Burundi ,Social insurance ,No contribution ,3% of covered monthly payroll ,Not covered ,No contribution ,4.9,,
Cameroon ,Social insurance ,No contribution ,"1.75%, 2.5% or 5% of gross payroll according to assessed risk ",Not covered ,No contribution ,12.4,,
Cabo Verde ,Social insurance ,No contribution ,2% to 6% depending on worker's status; flat rate for household workers ,6% of covered monthly earnings ,No contribution ,56.6,,
Central African Republic ,Social insurance ,No contribution ,3% of covered payroll ,Not covered ,No contribution ,13.9,,
Chad ,Social insurance ,No contribution ,4% of gross payroll ,Not covered ,Subsidizes the programme ,4.7,,
Congo ,Social insurance ,No contribution ,2.25% of covered payroll ,2.25% of income Voluntary basis ,No contribution ,14.2,,
"Congo, Democratic Republic of ",Social insurance ,No contribution ,1.5% of monthly earnings (may be higher for high-risk industries) ,Not covered ,No contribution ,26.2,,
Côte d'Ivoire ,Social insurance ,No contribution ,2% to 5% of gross payroll according to assessed risk ,Contribution varies according to assessed risk Voluntary basis ,No contribution ,14.7,,
Djibouti ,Social insurance ,No contribution (cash benefits); 2% of covered earnings (medical benefits under sickness) ,1.2% (cash benefits); 5% (medical benefits under sickness) ,7% of covered earnings (medical benefits only under sickness) ,No contribution ,… ,,
Egypt ,Social insurance ,No contribution ,3% of covered payroll ,Not covered ,No contribution ,51.1,,
