"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1985","1985","USD","US Dollar","0","Units",,,1748.667,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1986","1986","USD","US Dollar","0","Units",,,1781.993,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1987","1987","USD","US Dollar","0","Units",,,1948.915,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1988","1988","USD","US Dollar","0","Units",,,1958.55,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1989","1989","USD","US Dollar","0","Units",,,2063.693,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1990","1990","USD","US Dollar","0","Units",,,2337.63,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1991","1991","USD","US Dollar","0","Units",,,2593.184,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1992","1992","USD","US Dollar","0","Units",,,2918.912,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1993","1993","USD","US Dollar","0","Units",,,3127.649,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1994","1994","USD","US Dollar","0","Units",,,3260.5,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1995","1995","USD","US Dollar","0","Units",,,3781.15,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1996","1996","USD","US Dollar","0","Units",,,3953.658,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1997","1997","USD","US Dollar","0","Units",,,4096.326,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1998","1998","USD","US Dollar","0","Units",,,4513.685,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","1999","1999","USD","US Dollar","0","Units",,,4671.581,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","2000","2000","USD","US Dollar","0","Units",,,5153.87,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","2001","2001","USD","US Dollar","0","Units",,,5169.715,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","2002","2002","USD","US Dollar","0","Units",,,5332.823,,
"10","Public","90","Total","0","Total","0","Total","PPPH","Per head, at current prices and current PPPs, in US dollars","AUS","Australia","2003","2003","USD","US Dollar","0","Units",,,5657.893,,
