Region,Country,Year,Population covered by at least one social protection benefit,Persons above retirement age receiving a pension,Persons with severe disabilities collecting disability social protection benefits,Unemployed receiving unemployment benefits,Employed covered in the event of work injury,Children/households receiving child/family cash benefits,Poor persons covered by social protection systems,Vulnerable persons covered by social assistance
Africa,Algeria,2020,,,3.6,8.8,,,,
Africa,Angola,2020,10.5,,,0,,,,5.1
Africa,Benin,2020,7.8,,,0,,11.6,,
Africa,Botswana,2020,14.7,100,,0,,4.2,,8.2
Africa,Burkina Faso,2020,7.5,,0.1,0,2.3,,,
Africa,Burundi,2020,,4,,0,,,,
Africa,Cameroon,2020,6.8,18.3,3.3,0,6.9,1.8,,0.9
Africa,Cape Verde,2020,39.2,84.8,30.1,3,50,37.9,11.1,19.8
Africa,Central African Republic,2020,1.4,4.7,0.3,,,0.4,,
Africa,Chad,2020,,1,,0,,,,
Africa,Congo,2020,,,,0,,,,
Africa,"Congo, Democratic Republic of the",2020,14.1,15,,,26.2,,,5.6
Africa,Côte d'Ivoire,2020,,7.7,,0,,,,
Africa,Djibouti,2020,,,,0,,,,4.6
Africa,Egypt,2020,36.9,38,,,,,,
Africa,Equatorial Guinea,2020,,,,0,,,,
Africa,Eritrea,2020,,,,,,0.1,,
Africa,Eswatini,2020,32,100,,0,,,,20.2
Africa,Ethiopia,2020,7.4,3.9,1.3,0,7.8,4.5,,3.2
Africa,Gabon,2020,,,,0,,,,
Africa,Gambia,2020,6.1,17,,0,23.4,,,0.5
Africa,Ghana,2020,25.3,,0.2,0,,25.9,,5.1
Africa,Guinea,2020,,2,,0,,,,
Africa,Guinea-Bissau,2020,0.9,0.2,0.2,0,,,,
Africa,Kenya,2020,10.1,,,0,,,,
Africa,Lesotho,2020,9.2,,,0,,,,7.8
Africa,Liberia,2020,6.2,3.4,,0,7.5,5.8,,2.7
Africa,Libya,2020,,42,,0,,,,
Africa,Madagascar,2020,,,,0,,,,
Africa,Malawi,2020,21.3,2.3,,0,,9.8,,19.6
Africa,Mali,2020,9.3,7.3,,0,5.3,5.4,,5.8
Africa,Mauritania,2020,,,,0,,,,
Africa,Mauritius,2020,,100,,1.2,,,,
Africa,Morocco,2019,,,,,39,,,
Africa,Mozambique,2020,13.4,52.5,,0,6.2,0.3,21,10.1
Africa,Namibia,2020,24.2,100,58,0,,22.8,,18.9
Africa,Niger,2020,20.6,,,0,,,,
Africa,Nigeria,2019,11,11,,7,32.8,12,2.2,1.8
Africa,Rwanda,2020,8.9,3.1,1.1,0,8.5,5.2,10.2,4.1
Africa,Sao Tome and Principe,2020,11.5,71.5,1.6,0,20.9,,0.9,
Africa,Senegal,2020,,,,0,,,,
Africa,Seychelles,2020,,100,,18,,,,
Africa,Sierra Leone,2020,4.4,7,,0,,0.8,,1.4
Africa,South Africa,2020,49.3,81.5,66.5,11.9,19.2,76.6,,32.4
Africa,South Sudan,2020,16.4,0,,0,,17.7,,16.4
Africa,Sudan,2020,9.3,9.4,0.7,0,3,8.1,,7.5
Africa,"Tanzania, United Republic of",2020,14,5.5,0.6,8.6,8.8,,,3
Africa,Togo,2020,23.2,,,0.7,8.3,,,
Africa,Tunisia,2020,50.2,85.4,5,,28.9,28.6,66.1,21.3
Africa,Uganda,2020,2.8,11.2,,0,,,,1.2
Africa,Zambia,2020,24.6,7.8,,0,,,,19.8
