"Country","Year","Value"
"Germany",1889,"1889-12-31"
"Denmark",1891,"1891-12-31"
"France",1905,"1905-12-31"
"Austria-Hungary",1906,"1906-12-31"
"United Kingdom",1908,"1908-12-31"
"Australia",1908,"1908-12-31"
"Luxembourg",1911,"1911-12-31"
"Romania",1912,"1912-12-31"
"Netherlands",1913,"1913-12-31"
"Sweden",1913,"1913-12-31"
"Uruguay",1919,"1919-12-31"
"Spain",1919,"1919-12-31"
"Portugal",1919,"1919-12-31"
"Italy",1919,"1919-12-31"
"Serbia",1922,"1922-12-31"
"Russia",1922,"1922-12-31"
"Latvia",1922,"1922-12-31"
"Greece",1923,"1923-12-31"
"Chile",1924,"1924-12-31"
"Belgium",1924,"1924-12-31"
"Bulgaria",1924,"1924-12-31"
"Canada",1927,"1927-12-31"
"Poland",1927,"1927-12-31"
"Hungary",1928,"1928-12-31"
"South Africa",1928,"1928-12-31"
"Panama",1931,"1931-12-31"
"Brazil",1934,"1934-12-31"
"United States of America",1935,"1935-12-31"
"Ecuador",1935,"1935-12-31"
"Peru",1936,"1936-12-31"
"Norway",1936,"1936-12-31"
"Finland",1937,"1937-12-31"
"Costa Rica",1941,"1941-12-31"
"Japan",1941,"1941-12-31"
"Mexico",1942,"1942-12-31"
"Paraguay",1943,"1943-12-31"
"Colombia",1946,"1946-12-31"
"Switzerland",1946,"1946-12-31"
"Dominican Republic",1947,"1947-12-31"
"Monaco",1947,"1947-12-31"
"Albania",1947,"1947-12-31"
"Bolivia",1949,"1949-12-31"
"Turkey",1949,"1949-12-31"
"San Marino",1950,"1950-12-31"
"Egypt",1950,"1950-12-31"
"Taiwan",1950,"1950-12-31"
"China",1951,"1951-12-31"
"Liechtenstein",1952,"1952-12-31"
"India",1952,"1952-12-31"
"El Salvador",1953,"1953-12-31"
"Iran",1953,"1953-12-31"
"Israel",1953,"1953-12-31"
"Philippines",1954,"1954-12-31"
"Nicaragua",1955,"1955-12-31"
"Honduras",1957,"1957-12-31"
"Libya",1957,"1957-12-31"
"Guinea",1958,"1958-12-31"
"Sri Lanka",1958,"1958-12-31"
"Morocco",1959,"1959-12-31"
"Syria",1959,"1959-12-31"
"Argentina",1960,"1960-12-31"
"Ivory Coast",1960,"1960-12-31"
"Burkina Faso",1960,"1960-12-31"
"Tunisia",1960,"1960-12-31"
"Liberia",1961,"1961-12-31"
"Nigeria",1961,"1961-12-31"
"Mali",1962,"1962-12-31"
"Central African Republic",1962,"1962-12-31"
"Congo",1962,"1962-12-31"
"Saudi Arabia",1962,"1962-12-31"
"Cuba",1963,"1963-12-31"
"Gabon",1963,"1963-12-31"
"Lebanon",1963,"1963-12-31"
"Tanzania",1964,"1964-12-31"
"Haiti",1965,"1965-12-31"
"Jamaica",1965,"1965-12-31"
"Mauritania",1965,"1965-12-31"
"Ghana",1965,"1965-12-31"
"Kenya",1965,"1965-12-31"
"Zambia",1965,"1965-12-31"
"Venezuela",1966,"1966-12-31"
"Niger",1967,"1967-12-31"
"Uganda",1967,"1967-12-31"
"Togo",1968,"1968-12-31"
"Guatemala",1969,"1969-12-31"
"Cameroon",1969,"1969-12-31"
"Madagascar",1969,"1969-12-31"
"Benin",1970,"1970-12-31"
"Samoa",1972,"1972-12-31"
"South Korea",1973,"1973-12-31"
"Swaziland",1974,"1974-12-31"
"Sudan",1974,"1974-12-31"
"Senegal",1975,"1975-12-31"
"Oman",1975,"1975-12-31"
"Yemen Arab Republic",1976,"1976-12-31"
"Kuwait",1976,"1976-12-31"
"Bahrain",1976,"1976-12-31"
"Pakistan",1976,"1976-12-31"
"Chad",1977,"1977-12-31"
"Indonesia",1977,"1977-12-31"
"Sao Tome and Principe",1979,"1979-12-31"
"Papua New Guinea",1980,"1980-12-31"
"Equatorial Guinea",1984,"1984-12-31"
"Tuvalu",1984,"1984-12-31"
"Tonga",1985,"1985-12-31"
"Vanuatu",1986,"1986-12-31"
"Mozambique",1989,"1989-12-31"
"Thailand",1990,"1990-12-31"
"Nepal",1994,"1994-12-31"
"Vietnam",1995,"1995-12-31"
"Botswana",1996,"1996-12-31"
"Bangladesh",1998,"1998-12-31"
"Laos",1999,"1999-12-31"
"Sierra Leone",2001,"2001-12-31"
"Cambodia",2002,"2002-12-31"
"Lesotho",2005,"2005-12-31"
"East Timor",2006,"2006-12-31"
"Maldives",2009,"2009-12-31"
