iso3c,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,NA,NA,NA,NA,NA,NA,NA,15.733112564894299,NA,NA,NA,8.820582326544452,NA,NA,NA,NA,NA,NA,NA,NA
AFW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,NA,NA,NA,NA,NA,NA,NA,NA,67.72739478097171,NA,NA,NA,54.8855099994917,NA,NA,NA,NA,NA,NA,NA
AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,NA,NA,NA,NA,NA,NA,33.3358348155909,NA,NA,NA,37.80100707933448,42.13772658621859,41.054989932702895,46.36080045147439,44.693787230000005,NA,46.774577810000004,50.68987733,48.24588528,NA
ARM,NA,NA,NA,NA,NA,NA,NA,NA,60.8607289792489,60.7878967407849,65.46784710665978,63.5759829210142,65.03765529426632,65.0440473032927,66.76264983368428,66.57048831672216,67.5389422678381,71.0550670653647,67.01848140363148,NA
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.64361510356159,NA,NA,NA,NA
BDI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BEN,NA,NA,NA,6.626980907214369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFA,NA,NA,NA,34.26921220902301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28044412243645,NA,NA,NA,NA,NA
BGD,NA,NA,NA,NA,NA,13.9831727764298,NA,NA,NA,NA,17.770907494192503,NA,NA,NA,NA,NA,40.9912028824069,NA,NA,NA
BGR,NA,NA,NA,NA,NA,NA,NA,73.6079265727371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIH,NA,NA,NA,NA,NA,NA,NA,57.6229196453376,NA,NA,NA,NA,NA,NA,NA,50.34959309261699,NA,NA,NA,NA
BLR,NA,NA,NA,NA,NA,NA,NA,NA,74.96094388054661,73.86217306504821,74.35017498695349,NA,77.24999415973261,75.05251522641649,75.39987835987108,75.36996990196121,76.35101137246808,NA,NA,NA
BLZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.38701920389509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOL,NA,NA,NA,NA,NA,NA,16.1364403410845,58.35292352532339,73.4405123074005,79.08308607878678,NA,76.47872746647339,76.75464046304252,NA,78.19620111417319,76.6985086499999,84.33850364000001,83.02119193,83.61143030999999,NA
BRA,NA,NA,NA,NA,NA,NA,53.93266904566539,NA,NA,45.46017543282011,NA,45.34388025434338,46.37658170762019,NA,NA,53.8087112251176,50.748905660000005,50.14240901,50.70940403,NA
BRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTN,NA,NA,NA,NA,NA,NA,NA,2.39719547535212,NA,NA,NA,NA,2.91697984766331,NA,NA,NA,NA,0.892941464457989,NA,NA
BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7742720372754,NA,NA,NA,NA,NA,55.44380583,NA,NA,NA,NA
CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,NA,NA,NA,NA,NA,NA,89.68931195953668,NA,NA,90.44321191104542,NA,83.43314396254901,NA,88.5411621214761,NA,87.7224742663193,NA,92.28807249999998,NA,NA
CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.0530007063887,NA,NA,NA,NA,NA,NA
CIV,NA,NA,25.300790882683895,NA,NA,NA,NA,NA,32.3991555762045,NA,NA,NA,NA,NA,NA,32.8626697977588,NA,NA,NA,NA
