"iso3c","year","socx"
"AUS",1980,10.262
"AUS",1981,10.134
"AUS",1982,11.109
"AUS",1983,11.612
"AUS",1984,11.993
"AUS",1985,12.084
"AUS",1986,11.918
"AUS",1987,12.172
"AUS",1988,11.465
"AUS",1989,11.604
"AUS",1990,13.141
"AUS",1991,14.306
"AUS",1992,15.285
"AUS",1993,15.545
"AUS",1994,15.271
"AUS",1995,16.913
"AUS",1996,17.028
"AUS",1997,16.786
"AUS",1998,17.61
"AUS",1999,17.239
"AUS",2000,18.244
"AUS",2001,17.539
"AUS",2002,17.348
"AUS",2003,17.546
"AUS",2004,17.238
"AUS",2005,16.694
"AUS",2006,15.713
"AUS",2007,15.873
"AUS",2008,17.051
"AUS",2009,16.869
"AUS",2010,16.561
"AUS",2011,17.015
"AUS",2012,17.302
"AUS",2013,17.247
"AUS",2014,17.78
"AUS",2015,18.148
"AUS",2016,17.408
"AUS",2017,16.71
"AUT",1980,21.906
"AUT",1981,NA
"AUT",1982,NA
"AUT",1983,NA
"AUT",1984,NA
"AUT",1985,23.205
"AUT",1986,NA
"AUT",1987,NA
"AUT",1988,NA
"AUT",1989,NA
"AUT",1990,23.149
"AUT",1991,23.47
"AUT",1992,24.158
"AUT",1993,25.471
"AUT",1994,26.324
"AUT",1995,26.276
"AUT",1996,26.399
"AUT",1997,25.854
"AUT",1998,25.632
"AUT",1999,25.954
"AUT",2000,25.688
"AUT",2001,25.751
"AUT",2002,26.047
"AUT",2003,26.584
"AUT",2004,26.329
"AUT",2005,25.952
"AUT",2006,25.665
"AUT",2007,25.086
"AUT",2008,25.516
"AUT",2009,27.467
"AUT",2010,27.563
"AUT",2011,26.744
"AUT",2012,27.11
"AUT",2013,27.517
"AUT",2014,27.731
"AUT",2015,27.735
"AUT",2016,27.718
"AUT",2017,27.263
"AUT",2018,26.914
"AUT",2019,26.945
"BEL",1980,23.202
"BEL",1981,24.752
"BEL",1982,25.35
"BEL",1983,25.634
"BEL",1984,24.852
"BEL",1985,25.689
"BEL",1986,25.518
"BEL",1987,25.289
"BEL",1988,25.107
"BEL",1989,24.262
"BEL",1990,24.57
"BEL",1991,25.335
"BEL",1992,24.346
"BEL",1993,25.4
"BEL",1994,24.801
"BEL",1995,25.304
"BEL",1996,25.935
"BEL",1997,24.929
"BEL",1998,24.929
"BEL",1999,24.73
"BEL",2000,23.654
"BEL",2001,24.121
"BEL",2002,24.502
"BEL",2003,25.65
"BEL",2004,25.444
"BEL",2005,25.311
"BEL",2006,25.238
"BEL",2007,24.984
"BEL",2008,26.466
"BEL",2009,28.761
"BEL",2010,28.448
"BEL",2011,28.893
"BEL",2012,28.804
"BEL",2013,29.198
"BEL",2014,29.105
"BEL",2015,29.517
"BEL",2016,28.845
"BEL",2017,28.718
"BEL",2018,28.77
"BEL",2019,28.902
"CAN",1980,13.218
"CAN",1981,13.707
"CAN",1982,16.004
