"iso3","year","cow_code","country_name","variable","regime"
"AFG",1880,700,"Afghanistan","v2x_regime_amb_interpol",0
"AGO",1880,540,"Angola","v2x_regime_amb_interpol",0
"ALB",1880,339,"Albania","v2x_regime_amb_interpol",0
"ARE",1880,696,"United Arab Emirates","v2x_regime_amb_interpol",0
"ARG",1880,160,"Argentina","v2x_regime_amb_interpol",0
"ARM",1880,371,"Armenia","v2x_regime_amb_interpol",0
"AUS",1880,900,"Australia","v2x_regime_amb_interpol",0
"AUT",1880,305,"Austria","v2x_regime_amb_interpol",0
"AZE",1880,373,"Azerbaijan","v2x_regime_amb_interpol",0
"BDI",1880,516,"Burundi","v2x_regime_amb_interpol",0
"BEL",1880,211,"Belgium","v2x_regime_amb_interpol",8
"BEN",1880,434,"Benin","v2x_regime_amb_interpol",0
"BFA",1880,439,"Burkina Faso","v2x_regime_amb_interpol",0
"BGD",1880,771,"Bangladesh","v2x_regime_amb_interpol",0
"BGR",1880,355,"Bulgaria","v2x_regime_amb_interpol",0
"BHR",1880,692,"Bahrain","v2x_regime_amb_interpol",0
"BIH",1880,346,"Bosnia and Herzegovina","v2x_regime_amb_interpol",0
"BLR",1880,370,"Belarus","v2x_regime_amb_interpol",0
"BOL",1880,145,"Bolivia","v2x_regime_amb_interpol",3
"BRA",1880,140,"Brazil","v2x_regime_amb_interpol",0
"BTN",1880,760,"Bhutan","v2x_regime_amb_interpol",0
"BWA",1880,571,"Botswana","v2x_regime_amb_interpol",0
"CAF",1880,482,"Central African Republic","v2x_regime_amb_interpol",0
"CAN",1880,20,"Canada","v2x_regime_amb_interpol",4
"CHE",1880,225,"Switzerland","v2x_regime_amb_interpol",0
"CHL",1880,155,"Chile","v2x_regime_amb_interpol",1
"CHN",1880,710,"China","v2x_regime_amb_interpol",0
"CIV",1880,437,"Ivory Coast","v2x_regime_amb_interpol",0
"CMR",1880,471,"Cameroon","v2x_regime_amb_interpol",3
"COD",1880,490,"Democratic Republic of the Congo","v2x_regime_amb_interpol",0
"COG",1880,484,"Republic of the Congo","v2x_regime_amb_interpol",0
"COL",1880,100,"Colombia","v2x_regime_amb_interpol",0
"COM",1880,581,"Comoros","v2x_regime_amb_interpol",0
"CPV",1880,402,"Cape Verde","v2x_regime_amb_interpol",0
"CRI",1880,94,"Costa Rica","v2x_regime_amb_interpol",0
"CUB",1880,40,"Cuba","v2x_regime_amb_interpol",0
"CYP",1880,352,"Cyprus","v2x_regime_amb_interpol",0
"CZE",1880,316,"Czech Republic","v2x_regime_amb_interpol",0
"DEU",1880,255,"Germany","v2x_regime_amb_interpol",0
"DJI",1880,522,"Djibouti","v2x_regime_amb_interpol",0
"DNK",1880,390,"Denmark","v2x_regime_amb_interpol",0
"DOM",1880,42,"Dominican Republic","v2x_regime_amb_interpol",0
"DZA",1880,615,"Algeria","v2x_regime_amb_interpol",0
"ECU",1880,130,"Ecuador","v2x_regime_amb_interpol",0
"EGY",1880,651,"Egypt","v2x_regime_amb_interpol",0
"ESP",1880,230,"Spain","v2x_regime_amb_interpol",0
"EST",1880,366,"Estonia","v2x_regime_amb_interpol",0
"ETH",1880,530,"Ethiopia","v2x_regime_amb_interpol",0
"FIN",1880,375,"Finland","v2x_regime_amb_interpol",0
"FJI",1880,950,"Fiji","v2x_regime_amb_interpol",0
"FRA",1880,220,"France","v2x_regime_amb_interpol",0
"GAB",1880,481,"Gabon","v2x_regime_amb_interpol",0
"GBR",1880,200,"United Kingdom","v2x_regime_amb_interpol",4
"GEO",1880,372,"Georgia","v2x_regime_amb_interpol",0
"GHA",1880,452,"Ghana","v2x_regime_amb_interpol",0
"GIN",1880,438,"Guinea","v2x_regime_amb_interpol",0
"GMB",1880,420,"The Gambia","v2x_regime_amb_interpol",0
"GNB",1880,404,"Guinea-Bissau","v2x_regime_amb_interpol",0
"GNQ",1880,411,"Equatorial Guinea","v2x_regime_amb_interpol",0
"GRC",1880,350,"Greece","v2x_regime_amb_interpol",0
"GTM",1880,90,"Guatemala","v2x_regime_amb_interpol",0
"GUY",1880,110,"Guyana","v2x_regime_amb_interpol",0
"HND",1880,91,"Honduras","v2x_regime_amb_interpol",0
"HRV",1880,344,"Croatia","v2x_regime_amb_interpol",0
"HTI",1880,41,"Haiti","v2x_regime_amb_interpol",0
"HUN",1880,310,"Hungary","v2x_regime_amb_interpol",0
"IDN",1880,850,"Indonesia","v2x_regime_amb_interpol",0
"IND",1880,750,"India","v2x_regime_amb_interpol",0
"IRL",1880,205,"Ireland","v2x_regime_amb_interpol",4
"IRN",1880,630,"Iran","v2x_regime_amb_interpol",0
"IRQ",1880,645,"Iraq","v2x_regime_amb_interpol",0
"ISR",1880,666,"Israel","v2x_regime_amb_interpol",0
"ITA",1880,325,"Italy","v2x_regime_amb_interpol",3
"JAM",1880,51,"Jamaica","v2x_regime_amb_interpol",0
