"iso3c","year","gdp_cap","unemp_nat","unemp_ilo","fertility","fem_labour","pop","pop65","pop_dens"
"ABW",1986,15669.3659062795,NA,NA,2.32,NA,62645,7.38139326990614,348.027777777778
"ABW",1987,18426.1215390034,NA,NA,2.307,NA,61838,7.45556579819837,343.544444444444
"ABW",1988,22136.5542459845,NA,NA,2.291,NA,61072,7.53286727025655,339.288888888889
"ABW",1989,24837.5439985966,NA,NA,2.272,NA,61033,7.60912308297287,339.072222222222
"ABW",1990,25356.5629547813,NA,NA,2.249,NA,62152,7.65579494440779,345.288888888889
"ABW",1991,26328.905711765,6.08,NA,2.221,NA,64623,7.39221936801709,359.016666666667
"ABW",1992,26400.0342464356,NA,NA,2.187,NA,68240,7.17373781783542,379.111111111111
"ABW",1993,26666.5179039677,NA,NA,2.149,NA,72495,7.01616462539998,402.75
"ABW",1994,27270.5323011062,6.45,NA,2.108,NA,76705,6.92959582790091,426.138888888889
"ABW",1995,26705.1813209964,NA,NA,2.064,NA,80324,6.91200637418455,446.244444444444
"ABW",1996,26084.3270120899,NA,NA,2.021,NA,83211,6.98677884615385,462.283333333333
"ABW",1997,27190.8196784272,7.45,NA,1.978,NA,85450,7.09061333395747,474.722222222222
"ABW",1998,27150.9904582637,NA,NA,1.939,NA,87280,7.22985437171305,484.888888888889
"ABW",1999,26953.1935755957,NA,NA,1.903,NA,89009,7.39059603393068,494.494444444444
"ABW",2000,28413.3185989703,6.92,NA,1.872,NA,90866,7.58037709266618,504.811111111111
"ABW",2001,26967.7966325902,6.9,NA,1.846,NA,92892,7.75797110809705,516.066666666667
"ABW",2002,25508.3027198476,NA,NA,1.823,NA,94992,7.95540677109651,527.733333333333
"ABW",2003,25469.5501282445,NA,NA,1.803,NA,97016,8.16764072275993,538.977777777778
"ABW",2004,27003.6149972914,NA,NA,1.787,NA,98744,8.38287572034799,548.577777777778
"ABW",2005,26980.6945684316,NA,NA,1.774,NA,100028,8.59133668562746,555.711111111111
"ABW",2006,27047.2971737399,NA,NA,1.765,NA,100830,8.91861871987623,560.166666666667
"ABW",2007,27426.4947563631,5.71,NA,1.76,NA,101226,9.22921894449823,562.366666666667
"ABW",2008,27364.8512655308,NA,NA,1.759,NA,101362,9.54833362931392,563.122222222222
"ABW",2009,24464.4156064001,NA,NA,1.761,NA,101452,9.89108471736238,563.622222222222
"ABW",2010,23513.527696809,10.6,NA,1.768,NA,101665,10.2882884655106,564.805555555556
"ABW",2011,24232.0512333462,8.9,NA,1.779,NA,102050,10.5834623601121,566.944444444444
"ABW",2012,23780.097972236,NA,NA,1.795,NA,102565,10.9204368174727,569.805555555556
"ABW",2013,24634.3321496859,NA,NA,1.813,NA,103165,11.2980932347153,573.138888888889
"ABW",2014,24562.7609355826,NA,NA,1.834,NA,103776,11.7071713531328,576.533333333333
"ABW",2015,25822.7463429042,NA,NA,1.854,NA,104339,12.1371273037445,579.661111111111
"ABW",2016,26232.7776632148,NA,NA,1.872,NA,104865,12.6048897703868,582.583333333333
"ABW",2017,26631.4690408183,NA,NA,1.886,NA,105361,13.0734772127631,585.338888888889
"ABW",2018,NA,NA,NA,1.896,NA,105846,13.5509471396854,588.033333333333
"ABW",2019,NA,NA,NA,1.901,NA,106310,14.0583554376658,NA
"ABW",2020,NA,NA,NA,NA,NA,106766,14.6057733735459,NA
"AFG",1986,NA,NA,NA,7.46,NA,11736177,2.27144626884099,17.9765600588181
"AFG",1987,NA,NA,NA,7.461,NA,11604538,2.29474100381799,17.7749257114849
"AFG",1988,NA,NA,NA,7.461,NA,11618008,2.30277917766432,17.7955580063107
"AFG",1989,NA,NA,NA,7.461,NA,11868873,2.28527939079662,18.1798134362651
"AFG",1990,NA,NA,NA,7.466,15.7537402874824,12412311,2.23254208645161,19.0122093557577
"AFG",1991,NA,NA,11.38,7.479,15.70088941826,13299016,2.24233114372288,20.3703948779218
"AFG",1992,NA,NA,11.46,7.502,15.6155286202865,14485543,2.25936253973444,22.1878243421254
"AFG",1993,NA,NA,11.61,7.535,15.5132216094163,15816601,2.28341066662671,24.2266351131943
"AFG",1994,NA,NA,11.65,7.572,15.4276089479101,17075728,2.3178808140936,26.1552675918267
"AFG",1995,NA,NA,11.65,7.606,15.4339500679994,18110662,2.36831827801719,27.7404987286708
"AFG",1996,NA,NA,11.65,7.629,15.3013133842779,18853444,2.36938230413903,28.8782342309224
"AFG",1997,NA,NA,11.64,7.632,15.1998379367849,19357126,2.35894006165998,29.6497350121006
"AFG",1998,NA,NA,11.64,7.61,15.1540605512193,19737770,2.34152651022038,30.2327757865392
"AFG",1999,NA,NA,11.69,7.561,15.1176679948966,20170847,2.31928817653837,30.8961293386025
"AFG",2000,NA,NA,11.65,7.485,15.077226095978,20779957,2.2919445486715,31.8291165027724
"AFG",2001,NA,NA,11.63,7.387,15.1551674922531,21606992,2.27186686085076,33.0959041754741
"AFG",2002,330.303494438021,NA,11.68,7.272,15.2651522151684,22600774,2.25584792022573,34.6181018901449
"AFG",2003,343.080889731082,NA,11.68,7.148,15.3802837381328,23680871,2.24314806663995,36.272510185951
"AFG",2004,333.216617124072,NA,11.61,7.016,15.520728399595,24726689,2.23342523405079,37.8744125846276
"AFG",2005,357.234761652514,NA,11.52,6.875,15.6705857166676,25654274,2.22748822740161,39.2952149005912
"AFG",2006,365.284370559754,NA,11.34,6.722,15.5590883758423,26433058,2.25182119550416,40.4880954569127
"AFG",2007,405.548889275729,NA,11.18,6.555,15.4641395363058,27100542,2.27063774679586,41.5104953588825
"AFG",2008,412.014212359158,2.49,11.11,6.373,15.4080994288613,27722281,2.28716790785865,42.4628266397084
"AFG",2009,488.300371326933,NA,11.46,6.18,15.4097885756223,28394806,2.3055901090104,43.4929479520877
"AFG",2010,543.302967401909,NA,11.52,5.977,15.4791670074216,29185511,2.32813156201124,44.7040881659161
"AFG",2011,528.736683125618,NA,11.51,5.77,15.7576665541619,30117411,2.354461852351,46.131499862145
"AFG",2012,576.190088453246,1.69,11.52,5.562,16.1153681700521,31161378,2.38629385300572,47.7305670434703
"AFG",2013,587.565035491396,NA,11.54,5.359,16.9633139564696,32269592,2.42020745910337,49.4280427656772
"AFG",2014,583.656017892664,7.91,11.45,5.163,17.8529262279208,33370804,2.45157487112833,51.1147933707073
"AFG",2015,574.18411426293,NA,11.39,4.976,18.7877621423825,34413603,2.47866228944409,52.7120715007812
"AFG",2016,571.075388473724,NA,11.31,4.8,19.8164430694334,35383028,2.51992254366443,54.1969610636277
"AFG",2017,571.445240851978,11.18,11.18,4.633,20.8923513317371,36296111,2.5542514703985,55.5955503477009
"AFG",2018,564.617039478352,NA,11.06,4.473,21.2470151377734,37171922,2.58492693988024,56.9370492908127
"AFG",2019,573.287505805589,NA,10.98,4.321,21.6073953406184,38041757,2.61579421390507,NA
"AFG",2020,549.391787084908,11.71,11.73,NA,NA,38928341,2.6490696522272,NA
"AGO",1986,2902.61644333382,18.9,NA,7.435,NA,10320116,2.5452342518409,8.27794657896848
"AGO",1987,2916.7947535258,NA,NA,7.409,NA,10689247,2.52096264939074,8.57403304724473
"AGO",1988,2989.6163157549,NA,NA,7.373,NA,11068051,2.49469418732297,8.87787839897329
"AGO",1989,2889.88409320685,NA,NA,7.328,NA,11454784,2.47529916994456,9.18808374107644
"AGO",1990,2697.49100590331,NA,NA,7.272,48.2621583280855,11848385,2.46696891880464,9.50379802679073
"AGO",1991,2635.15554951792,NA,3.75,7.208,48.3143016804263,12248901,2.48174101496942,9.8250589556429
"AGO",1992,2401.23460449963,NA,3.78,7.138,48.3428062866133,12657361,2.49965119125101,10.1526919066335
"AGO",1993,1767.02601107443,NA,3.85,7.065,48.3182974604189,13075044,2.51717603505731,10.4877227881607
"AGO",1994,1733.84307360921,NA,3.87,6.99,48.3887884487179,13503753,2.53039397139179,10.8315978182402
"AGO",1995,1930.79964794741,NA,3.86,6.918,48.5005461749501,13945205,2.53790442392891,11.1856942327745
"AGO",1996,2122.96801641864,NA,3.86,6.851,48.5999551397492,14400722,2.55663623462134,11.5510724312184
"AGO",1997,2205.29370359605,NA,3.86,6.789,48.7039105187654,14871572,2.56698519389681,11.9287494986765
"AGO",1998,2235.39031747907,NA,3.86,6.732,48.8110447448425,15359600,2.57091964823826,12.3202053421032
"AGO",1999,2211.12966098589,NA,3.88,6.683,48.9080118191118,15866871,2.57058906832848,12.7270963343226
"AGO",2000,2205.20479980247,NA,3.87,6.639,49.0073687753007,16395477,2.5668792843,13.1511005053341
"AGO",2001,2223.33463308956,NA,3.85,6.601,49.0842896416524,16945753,2.57473362204677,13.5924865645304
"AGO",2002,2444.41764282556,NA,3.88,6.567,49.1826627883568,17519418,2.5769065260562,14.0526333520494
"AGO",2003,2433.86181902379,NA,3.88,6.533,49.2672005348567,18121477,2.57132433837216,14.5355554664314
"AGO",2004,2608.78501823161,23.64,3.85,6.499,49.3646658867504,18758138,2.55473555620772,15.0462324536777
"AGO",2005,2896.55443103194,NA,3.81,6.461,49.4761584272905,19433604,2.52635615363534,15.588035614021
"AGO",2006,3116.18042005518,NA,3.73,6.419,49.5635990836769,20149905,2.50370957157556,16.1625932461699
"AGO",2007,3424.37219332146,NA,3.66,6.372,49.6562556786117,20905360,2.4705287346601,16.7685569904548
"AGO",2008,3668.07955400826,NA,3.63,6.32,49.7378462848859,21695636,2.43205153626762,17.4024512713564
"AGO",2009,3565.0578864653,3.78,3.78,6.26,49.7876398175858,22514275,2.3944268973102,18.0590960134756
"AGO",2010,3587.88364462837,9.43,9.43,6.194,49.8501109458288,23356247,2.36075609068341,18.7344565653325
"AGO",2011,3579.96005519193,7.36,7.36,6.12,49.8665133936153,24220660,2.34742974190506,19.4278174380364
"AGO",2012,3748.45155037137,NA,7.37,6.039,49.9128416428455,25107925,2.33600291477621,20.1395083019171
"AGO",2013,3796.88131369242,NA,7.38,5.953,49.9564819781291,26015786,2.32278246807198,20.8677195796904
"AGO",2014,3843.1987330389,9.58,7.31,5.864,50.0088581504273,26941773,2.303043908125,21.610470040908
"AGO",2015,3748.32025213841,NA,7.26,5.774,50.0503242951255,27884380,2.27586188841703,22.3665516964787
"AGO",2016,3530.31091633315,NA,7.2,5.686,50.0976844452723,28842482,2.26101845787304,23.1350621641133
"AGO",2017,3409.92790097999,NA,7.1,5.6,50.1536167858829,29816769,2.23919656477835,23.9165549049491
"AGO",2018,3233.90361075042,NA,7,5.519,50.2029056182122,30809787,2.21637364776329,24.7130721103714
"AGO",2019,3111.15730771384,NA,6.93,5.442,50.2702756118743,31825299,2.19934175001363,NA
"AGO",2020,2890.89289718216,NA,7.7,NA,NA,32866268,2.19146242080635,NA
"ALB",1986,2058.12060889689,6.4,NA,3.217,NA,3022635,5.40777054948867,110.315145985401
"ALB",1987,2001.53265726801,6.1,NA,3.164,NA,3083605,5.41125554978825,112.540328467153
"ALB",1988,1936.2322073095,7,NA,3.108,NA,3142336,5.41684616915398,114.683795620438
"ALB",1989,2070.28951506789,7.3,NA,3.046,NA,3227943,5.44116270325437,117.808138686131
"ALB",1990,1838.66748471688,9.5,NA,2.978,41.6150758085253,3286542,5.49497835258072,119.946788321168
"ALB",1991,1331.80531341432,9.1,16.22,2.905,43.1859945532905,3266790,5.64877095593671,119.225912408759
"ALB",1992,1243.60582446625,26.5,16.33,2.829,44.0447147623851,3247039,5.82749979512528,118.505072992701
"ALB",1993,1370.82607057959,22.3,16.52,2.751,44.3847304221617,3227287,6.02591575673378,117.784197080292
"ALB",1994,1493.78590178292,18.4,16.57,2.672,44.7090033551797,3207536,6.23059959275631,117.063357664234
"ALB",1995,1703.28184475531,12.9,16.57,2.591,44.7020034229337,3187784,6.43248046217462,116.342481751825
"ALB",1996,1869.86587314624,12.3,16.57,2.507,44.1240497807775,3168033,6.56378481298609,115.621642335766
"ALB",1997,1676.12710708271,14.9,16.55,2.422,43.982552856364,3148281,6.68259912405896,114.900766423358
"ALB",1998,1835.6466813013,17.7,16.55,2.334,43.129546313076,3128530,6.79748042390704,114.179927007299
"ALB",1999,2085.42599716821,18.4,16.62,2.246,42.2533416517081,3108778,6.92084438547832,113.459051094891
"ALB",2000,2244.62463172571,16.8,16.58,2.157,41.7033063534259,3089027,7.05816071171207,112.738211678832
"ALB",2001,2453.62441365203,16.4,16.54,2.068,41.4570037210832,3060173,7.31458949472538,111.685145985401
"ALB",2002,2572.72143217486,15.8,16.61,1.981,41.4599356179542,3051010,7.59225215893995,111.350729927007
"ALB",2003,2725.17138911963,15,16.61,1.897,41.6311105505533,3039616,7.88714515576056,110.934890510949
"ALB",2004,2887.37034243453,14.4,16.52,1.821,41.8389698497931,3026939,8.19117057855797,110.472226277372
"ALB",2005,3062.67388299547,14.1,16.4,1.755,42.031200735319,3011487,8.50071756927054,109.908284671533
"ALB",2006,3263.90171311883,13.8,16.17,1.704,42.2165652808042,2992547,8.90555435303904,109.21704379562
"ALB",2007,3485.32240934607,15.97,15.97,1.671,42.3645359687546,2970017,9.3216607262101,108.394781021898
"ALB",2008,3775.58131429173,13.06,13.06,1.654,42.4748955229201,2947314,9.75059596799923,107.566204379562
"ALB",2009,3928.45039149695,13.67,13.67,1.652,41.6066750324725,2927519,10.1923346007195,106.843759124088
"ALB",2010,4094.3503344202,14.09,14.09,1.66,42.4440719305329,2913021,10.645405412373,106.314635036496
"ALB",2011,4209.87480089435,13.48,13.48,1.673,44.1715452470563,2905195,11.0149860410737,106.02901459854
"ALB",2012,4276.60790388367,13.38,13.38,1.684,42.3026022898933,2900401,11.3875109124751,105.854051094891
"ALB",2013,4327.37995998728,15.87,15.87,1.69,41.1829852763753,2895092,11.7707892099635,105.660291970803
"ALB",2014,4413.29689127908,18.05,18.06,1.688,40.276432345784,2889104,12.1806922958735,105.441751824818
"ALB",2015,4524.3730858712,17.19,17.19,1.677,41.132848207796,2880703,12.6265476059094,105.135145985401
"ALB",2016,4681.82656299266,15.42,15.42,1.659,42.0254431479969,2876101,12.956211080924,104.967189781022
"ALB",2017,4864.31061630449,13.62,13.62,1.638,41.2450323247419,2873457,13.329073296329,104.870693430657
"ALB",2018,5074.85722194352,12.3,12.3,1.617,42.1906873360799,2866376,13.7447359109736,104.612262773723
"ALB",2019,5207.30532165124,11.47,11.47,1.597,43.0442820386066,2854191,14.2026306207364,NA
"ALB",2020,5064.06191586953,NA,11.7,NA,NA,2837743,14.7045813168893,NA
"AND",1986,34382.693216311,NA,NA,NA,NA,46520,NA,98.9787234042553
"AND",1987,34837.8662031913,NA,NA,NA,NA,48459,NA,103.104255319149
"AND",1988,35179.5647476037,NA,NA,NA,NA,50433,NA,107.304255319149
"AND",1989,35458.1857872512,NA,NA,NA,NA,52452,NA,111.6
"AND",1990,35410.9672414956,NA,NA,NA,NA,54508,NA,115.974468085106
"AND",1991,34929.6487968446,NA,NA,NA,NA,56666,NA,120.565957446809
"AND",1992,33927.4418393701,NA,NA,NA,NA,58882,NA,125.28085106383
"AND",1993,32425.4519221601,NA,NA,NA,NA,60974,NA,129.731914893617
"AND",1994,32296.6945603519,NA,NA,NA,NA,62676,NA,133.353191489362
"AND",1995,32571.9658279066,NA,NA,NA,NA,63860,NA,135.872340425532
"AND",1996,33820.0896282317,NA,NA,NA,NA,64363,NA,136.942553191489
"AND",1997,36912.592231089,NA,NA,NA,NA,64318,NA,136.846808510638
"AND",1998,38197.5850669032,NA,NA,NA,NA,64140,NA,136.468085106383
"AND",1999,39622.487217128,NA,NA,NA,NA,64368,NA,136.953191489362
"AND",2000,40379.390206452,NA,NA,NA,NA,65390,NA,139.127659574468
"AND",2001,42391.1933189131,NA,NA,NA,NA,67344,NA,143.285106382979
"AND",2002,42607.6651925337,NA,NA,NA,NA,70048,NA,149.03829787234
"AND",2003,44329.9719487474,NA,NA,NA,NA,73180,NA,155.702127659574
"AND",2004,46006.4808757658,NA,NA,NA,NA,76250,NA,162.234042553192
"AND",2005,46878.4285106772,NA,NA,NA,NA,78871,NA,167.810638297872
