"COUNTRY_ALPHA","year","wave","liberal","confidence_gov","freedom_gov","democratic","reason_neediness","system_rating","poverty_compare"
"ALB",1998,3,7.02202202202202,2.31531531531532,1.04904904904905,NA,1.41241241241241,3.14114114114114,1.71871871871872
"ALB",2002,4,6.366,2.337,NA,NA,NA,3.238,NA
"AND",2005,5,6.34396809571286,2.73280159521436,NA,5.22532402791625,NA,NA,NA
"AND",2018,7,6.52490039840637,2.52191235059761,NA,6.5597609561753,NA,NA,NA
"ARG",1984,1,NA,NA,NA,NA,NA,NA,NA
"ARG",1991,2,4.68562874251497,NA,NA,NA,NA,NA,NA
"ARG",1995,3,5.52363299351251,2.90454124189064,1.42446709916589,NA,1.27247451343837,2.93141797961075,1.16126042632067
"ARG",1999,4,6.42109375,3.02265625,NA,NA,NA,2.946875,NA
"ARG",2006,5,5.85229540918164,2.71057884231537,NA,6.66067864271457,NA,NA,NA
"ARG",2013,6,5.63592233009709,2.8126213592233,NA,6.33592233009709,NA,NA,NA
"ARG",2017,7,5.68195413758724,2.86241276171486,NA,6.87238285144566,NA,NA,NA
"ARM",1997,3,7.431,2.6495,1.421,NA,1.4825,5.637,1.033
"ARM",2011,6,7.91545454545455,2.65090909090909,NA,3.62181818181818,NA,NA,NA
"AUS",1981,1,NA,NA,NA,NA,NA,NA,NA
"AUS",1995,3,4.9853515625,2.84130859375,1.373046875,NA,1.1279296875,4.82177734375,1.30615234375
"AUS",2005,5,4.99648135116115,2.59957776213934,NA,6.93947923997185,NA,NA,NA
"AUS",2012,6,5.10832769126608,2.73865944482058,NA,6.78469871360867,NA,NA,NA
"AUS",2018,7,5.569222283508,2.77220077220077,NA,7.15609487038058,NA,NA,NA
"AZE",1997,3,7.11688311688312,1.51498501498502,1.06493506493506,NA,1.25974025974026,5.13536463536464,0.968531468531469
"AZE",2011,6,5.85528942115768,1.82335329341317,NA,5.90718562874252,NA,NA,NA
"BFA",2007,5,5.99022164276402,2.02607561929596,NA,4.67275097783572,NA,NA,NA
"BGD",1996,3,6.06950819672131,1.7783606557377,1.07147540983607,NA,1.65639344262295,6.60262295081967,1.64983606557377
"BGD",2002,4,5.18333333333333,1.69466666666667,NA,NA,NA,5.03333333333333,NA
"BGD",2018,7,6.73583333333333,1.85333333333333,NA,7.23416666666667,NA,NA,NA
"BGR",1997,3,5.87220149253731,2.16044776119403,1.06902985074627,NA,1.23973880597015,4.35541044776119,1.0205223880597
"BGR",2006,5,6.84215784215784,2.74325674325674,NA,4.09190809190809,NA,NA,NA
"BIH",1998,3,7.08,2.0575,1.47166666666667,NA,1.5475,5.19666666666667,1.15833333333333
"BIH",2001,4,6.41416666666667,2.80666666666667,NA,NA,NA,6.46583333333333,NA
"BLR",1990,2,5.82660098522167,NA,NA,NA,NA,NA,NA
"BLR",1996,3,7.00717017208413,2.2848948374761,1.41682600382409,NA,1.52868068833652,4.90391969407266,1.04780114722753
"BLR",2011,6,7.07687296416938,2.40195439739414,NA,4.55830618892508,NA,NA,NA
"BOL",2017,7,5.13449443638123,2.88147073052733,NA,5.8766328011611,NA,NA,NA
"BRA",1991,2,5.16778900112233,NA,NA,NA,NA,NA,NA
"BRA",1997,3,5.38845144356955,2.68853893263342,1.45844269466317,NA,1.7095363079615,4.38232720909886,1.35520559930009
"BRA",2006,5,6.62733333333333,2.61866666666667,NA,5.946,NA,NA,NA
"BRA",2014,6,6.93270524899058,2.81022880215343,NA,5.23553162853297,NA,NA,NA
"BRA",2018,7,7.24631101021566,3.183314415437,NA,3.29228149829739,NA,NA,NA
"CAN",1982,1,NA,NA,NA,NA,NA,NA,NA
"CAN",1990,2,3.87341040462428,NA,NA,NA,NA,NA,NA
"CAN",2000,4,4.81097876747799,2.53184878301398,NA,NA,NA,4.75090626618332,NA
"CAN",2006,5,4.91866913123845,2.45887245841035,NA,6.7264325323475,NA,NA,NA
"CAN",2020,7,5.47212543554007,2.58685913389746,NA,7.3073668491787,NA,NA,NA
"CHE",1989,2,NA,NA,NA,NA,NA,NA,NA
"CHE",1996,3,3.36138613861386,2.37953795379538,1.26815181518152,NA,NA,5.21782178217822,NA
"CHE",2007,5,4.97824335213538,2.14826752618856,NA,7.43835616438356,NA,NA,NA
"CHL",1990,2,6.44066666666667,2.15666666666667,NA,NA,NA,NA,NA
"CHL",1996,3,6.367,2.448,1.421,NA,1.417,4.663,1.912
"CHL",2000,4,7.07583333333333,2.375,NA,NA,NA,4.77833333333333,NA
"CHL",2006,5,6.145,2.528,NA,6.673,NA,NA,NA
"CHL",2012,6,6.596,2.799,NA,6.054,NA,NA,NA
"CHL",2018,7,6.395,2.749,NA,6.385,NA,NA,NA
"CHN",1990,2,5.05,NA,NA,NA,NA,NA,NA
"CHN",1995,3,5.486,NA,NA,NA,1.06333333333333,NA,2.46266666666667
"CHN",2001,4,4.478,1.585,NA,NA,NA,6.604,NA
"CHN",2007,5,4.66298342541436,1.50778503264691,NA,4.56755399296836,NA,NA,NA
