"gov_redist","incdiff_large","corrupt_top_r","corr","libZ","libZ_i","lib_redistZ","lib_redistZ_i","noconf_govZ","noconf_govZ_i","cpiZ","cpiZ_i","gdp_pc_10k","socx","pct_fb_i","gini_disp"
"1","","","","","","","","","","","","","","",""
"0.84","1","","","","","","","","","","","","","",""
"0.73","0.81","1","","","","","","","","","","","","",""
"-0.33","-0.41","-0.24","1","","","","","","","","","","","",""
"-0.5","-0.33","-0.27","0.37","1","","","","","","","","","","",""
"-0.48","-0.3","-0.28","0.38","1","1","","","","","","","","","",""
"-0.42","-0.39","-0.33","0.46","0.55","0.56","1","","","","","","","","",""
"-0.43","-0.37","-0.35","0.41","0.55","0.56","1","1","","","","","","","",""
"0.29","0.39","0.42","0.13","0.04","0.04","-0.04","-0.04","1","","","","","","",""
"0.35","0.42","0.38","0.07","0.08","0.12","0","-0.01","1","1","","","","","",""
"0.63","0.55","0.61","-0.56","-0.68","-0.68","-0.44","-0.43","0.11","0.08","1","","","","",""
"0.57","0.51","0.6","-0.61","-0.61","-0.62","-0.47","-0.48","0.1","0.09","1","1","","","",""
"-0.45","-0.34","-0.51","0.47","0.49","0.48","0.39","0.35","-0.09","-0.09","-0.78","-0.71","1","","",""
"0.33","0.39","0.32","0.21","0.22","0.21","0.09","0.06","0.33","0.37","-0.15","-0.05","0.16","1","",""
"-0.26","-0.09","-0.18","0.22","0.36","0.32","0.23","0.12","-0.04","-0.07","-0.43","-0.44","0.52","0","1",""
"0.02","0.01","-0.05","-0.43","-0.36","-0.37","-0.32","-0.29","-0.21","-0.23","0.35","0.22","-0.25","-0.47","-0.01","1"
