"";"country";"1987";"1992";"1999";"2009";"2019"
"1";"Australia";1548;2067;1583;1414;NA
"2";"Austria";922;975;951;946;NA
"3";"Belgium";NA;NA;NA;1057;NA
"4";"Bulgaria";NA;1056;1048;900;NA
"5";"Canada";NA;953;919;409;NA
"6";"Chile";NA;NA;1427;1475;1336
"7";"Croatia";NA;NA;NA;NA;998
"8";"Cyprus";NA;NA;966;912;NA
"9";"Czechia";NA;648;1766;1180;1859
"10";"Denmark";NA;NA;1702;NA;1003
"11";"Finland";NA;NA;NA;827;914
"12";"France";NA;NA;1844;2735;NA
"13";"Germany";1243;3095;1300;1330;1258
"14";"Hungary";2462;1217;1180;1005;NA
"15";"Ireland";945;NA;943;NA;NA
"16";"Israel";NA;NA;1196;1171;NA
"17";"Italy";1010;990;NA;1041;1190
"18";"Japan";NA;NA;1174;1180;1347
"19";"Latvia";NA;NA;1050;1043;NA
"20";"Netherlands";1531;NA;1589;1227;NA
"21";"New Zealand";NA;1170;1038;888;1142
"22";"Norway";NA;1458;1213;1364;NA
"23";"Philippines";NA;1191;1191;1183;4198
"24";"Poland";1739;1484;1045;1228;NA
"25";"Portugal";NA;NA;1123;991;NA
"26";"Russia";NA;1622;1613;1542;1564
"27";"Slovakia";NA;410;1041;1125;NA
"28";"Slovenia";NA;995;975;1042;1136
"29";"South Africa";NA;NA;NA;NA;2652
"30";"Spain";NA;NA;1172;1182;NA
"31";"Sweden";NA;706;1105;1059;NA
"32";"Switzerland";918;NA;NA;1207;2932
"33";"Thailand";NA;NA;NA;NA;1465
"34";"United Kingdom";1155;1015;752;921;NA
"35";"United States";1450;1200;1159;1468;NA
