mod_b,mod_se,mod_var,mod_imputed,ri_cyear,ri_country,estimation,control_gdp,control_gini,control_socx,control_fb,i_level_control,gdp_m_interaction,count,incdiff_grand_mean,incdiff_within_cyear,pref_mods
-0.02647621157590502,0.002782064356149936,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,Yes,No,Yes,1,No,Yes,0
-0.026476211575905143,0.002782064367199739,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,Yes,No,No,Yes,2,No,Yes,0
-0.02647621157590516,0.0027820643213351576,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,No,Yes,3,No,Yes,0
-0.02647621157590516,0.0027820642436937547,A2_Corruption_percept,No,Yes,No,GLM,Yes,Yes,No,No,No,Yes,4,No,Yes,0
-0.026621312652076155,0.0027784359869044623,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,Yes,No,Yes,5,Yes,No,0
-0.026647544380665123,0.0027782266228143274,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,No,Yes,6,Yes,No,0
-0.026680159665186734,0.002778126980952181,A2_Corruption_percept,No,Yes,No,GLM,Yes,Yes,No,No,No,Yes,7,Yes,No,0
-0.02678608700993722,0.002778232891376258,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,Yes,No,No,Yes,8,Yes,No,0
-0.027927837117276175,0.002801928811010282,A2_Corruption_percept,No,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,9,No,Yes,0
-0.02792857121166544,0.0028019289377952585,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,Yes,Yes,10,No,Yes,0
-0.02792866441452372,0.0028019290303696394,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,11,No,Yes,0
-0.027929300470199467,0.0028019287410633547,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,12,No,Yes,0
-0.02804351018408774,0.002798105580509782,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,13,Yes,No,0
-0.028062416938292783,0.002797864657778343,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,Yes,Yes,14,Yes,No,0
-0.028099845798954613,0.002797691360344145,A2_Corruption_percept,No,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,15,Yes,No,0
-0.028219221158905527,0.0027977799123429853,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,16,Yes,No,0
-0.04477549127917521,0.0023162051622074367,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,No,Yes,17,No,Yes,0
-0.04477549127917521,0.0023162051649968187,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,Yes,No,Yes,18,No,Yes,0
-0.04477549127917523,0.0023162051064385507,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,Yes,No,No,Yes,19,No,Yes,0
-0.044775491279175336,0.002316205236593036,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,Yes,No,No,No,Yes,20,No,Yes,0
-0.04487690712980993,0.002313382242276738,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,Yes,No,Yes,21,Yes,No,0
-0.04489622366432453,0.002313286390734059,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,No,Yes,22,Yes,No,0
-0.04493206926483448,0.002313361559212955,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,Yes,No,No,No,Yes,23,Yes,No,0
-0.045068640818807626,0.0023134098249835895,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,Yes,No,No,Yes,24,Yes,No,0
-0.045797025839480185,0.0024489639424552846,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,25,No,Yes,0
-0.045797324721683325,0.002448963436887831,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,26,No,Yes,0
-0.045797756467016844,0.002448963827541773,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,27,No,Yes,0
-0.045797767889116804,0.0024489637983865237,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,Yes,Yes,28,No,Yes,0
-0.045854831996098,0.0024456254308528646,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,Yes,Yes,Yes,29,Yes,No,0
-0.045867191231706725,0.0024454861552372143,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,No,No,Yes,Yes,30,Yes,No,0
-0.04591347859889901,0.0024455079541517784,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,Yes,No,No,Yes,Yes,31,Yes,No,0
-0.04607831058062535,0.0024455231011924566,A2_Corruption_percept,Yes,Yes,No,GLM,Yes,No,Yes,No,Yes,Yes,32,Yes,No,0
-0.08396285331561215,0.003236655741240007,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,Yes,Yes,No,33,Yes,No,0
-0.08396308977796191,0.003236620399661324,A2_Corruption_percept,No,Yes,No,GLM,No,No,No,No,Yes,No,34,Yes,No,0
-0.08396635093483695,0.003236680986613197,A2_Corruption_percept,No,Yes,No,GLM,Yes,No,No,No,Yes,No,35,Yes,No,0
-0.08406074371796582,0.003236825730735223,A2_Corruption_percept,No,Yes,No,GLM,No,Yes,No,No,Yes,No,36,Yes,No,0
-0.08413520523716371,0.0032368730430718923,A2_Corruption_percept,No,Yes,No,GLM,No,No,Yes,No,Yes,No,37,Yes,No,0
-0.08425874198040179,0.0032365786826948992,A2_Corruption_percept,No,Yes,Yes,GLM,Yes,No,No,No,Yes,No,38,Yes,No,0
-0.0842802822204689,0.0032364468013010264,A2_Corruption_percept,No,Yes,Yes,GLM,No,No,No,No,Yes,No,39,Yes,No,0
