"country","iso3c","incdiff_large_agree","gov_redist_agree","gap_no_gov"
"Latvia","LVA",98.7,91.2,15
"Thailand","THA",98.5,96.9,12.9
"Bulgaria","BGR",98.4,90.8,14.7
"Portugal","PRT",98.2,95.5,7.2
"Croatia","HRV",97.9,98.3,7.7
"Slovakia","SVK",97.2,88,20
"Italy","ITA",96.6,92.2,11.2
"Spain","ESP",96.1,90.4,14.9
"Russia","RUS",95.8,89.5,12.8
"Slovenia","SVN",95.3,92.9,9.1
"France","FRA",95.2,82.5,21.2
"Austria","AUT",94.5,84.4,16.3
"Israel","ISR",94.4,89.2,13.7
"Hungary","HUN",93.7,91.3,15.2
"South Africa","ZAF",93.5,89.1,14.2
"Chile","CHL",93.3,89.5,18.5
"Germany","DEU",92.9,77.8,21
"Poland","POL",92.5,86.8,13.2
"Switzerland","CHE",91,66.9,27.8
"United Kingdom","GBR",90.3,76.9,19.1
"Czechia","CZE",89.6,76.9,20.9
"Ireland","IRL",88.2,84.1,14.1
"Japan","JPN",88.2,74.9,25.7
"New Zealand","NZL",85,61.8,25.9
"Sweden","SWE",83.6,72.3,17.3
"Finland","FIN",83.1,82.5,7.1
"Canada","CAN",82.8,57.9,27.8
"Cyprus","CYP",82.5,78.7,16.7
"Netherlands","NLD",82.1,78.4,8.9
"United States","USA",81.7,44.2,37
"Australia","AUS",81.5,59.1,24.1
"Norway","NOR",81.2,72,17.1
"Philippines","PHL",74.2,75.4,18.2
"Denmark","DNK",73.7,61.2,16.9
